name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Barrow Street Dental Practice,174426566,Barrow Street Dental Practice,WA10 1RX,Warrington (WA10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.barrowstreetdental.co.uk,
Grays Dental Care,01619 281813,Grays Dental Care,WA14 4PJ,Warrington (WA14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.graysdental.co.uk,
DCO Dental Group,01619 806745,DCO Dental Group,WA15 7JW,Warrington (WA15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.dcodental.co.uk/,
DCO Dental Group - Timperley,01619 806745,DCO Dental Group - Timperley,WA15 7JW,Warrington (WA15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.dcodental.co.uk,
Grappenhall Dental Practice,01925 210977,Grappenhall Dental Practice,WA4 2PW,Warrington (WA4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.dentistswarrington.co.uk,website unreachable
Bright Orthodontics Widnes,01513 322888,Bright Orthodontics Widnes,WA8 6AX,Warrington (WA8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.brightorthodontics.co.uk,
Deacon Dental Limited,01514 242182,Deacon Dental Limited,WA8 6ED,Warrington (WA8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.deacondental.co.uk,
