name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Kings Dental Berkhamsted,01442 875120,Kings Dental Berkhamsted,HP4 3BD,Hemel Hempstead & Amersham (HP4),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.kingsroaddentalpractice.co.uk,
Sands House Dental Practice,01494 436407,Sands House Dental Practice,HP12 4JN,Hemel Hempstead & Amersham (HP12),Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Rodericks Dental,No,https://www.sandshousedental.co.uk,
