name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Phoenix Orthodontics,01452 332444,Phoenix Orthodontics,GL1 1DP,Gloucester & Cheltenham (GL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Woodcock Lane Dental Care,01453 828327,Woodcock Lane Dental Care,GL10 2EE,Gloucester & Cheltenham (GL10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Hilltop Dental Practice,01242 233774,Hilltop Dental Practice,GL50 4NJ,Gloucester & Cheltenham (GL50),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.hilltop-dental.co.uk,
Cheltenham Orthodontics Limited,01242 248788,Cheltenham Orthodontics Limited,GL51 8PA,Gloucester & Cheltenham (GL51),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.cheltenhamorthodontics.co.uk,
Cirencester Dental Practice,01285 640248,Cirencester Dental Practice,GL7 1QA,Gloucester & Cheltenham (GL7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.cirencesterdentalpractice.com,
