practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Blair & Burnett,,"15A HIGH STREET, STEWARTON",KA3 5BP,Ayrshire (KA3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Largs Dental Surgery Ltd,,"46 MAIN STREET, LARGS",KA308AL,Ayrshire (KA30),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Largs Dental,,"SUITE 18-20 AITKEN STREET, LARGS",KA308AU,Ayrshire (KA30),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Largs Dental Care,,"26 WILSON STREET, LARGS",KA309AQ,Ayrshire (KA30),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Galston Dental Practice,,"4-6 CHURCH LANE, GALSTON",KA4 8HE,Ayrshire (KA4),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Mauchline Dental Surgery,,"4 KILMARNOCK ROAD, MAUCHLINE",KA5 5DD,Ayrshire (KA5),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
"Dental Services,Lower Ground Floor",,"AYR HOSPITAL, DALMELLINGTON RD, AYR",KA6 6DX,Ayrshire (KA6),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Drongan Dental Practice,,"70 MILL OF SHIELDS ROAD, DRONGAN",KA6 7AY,Ayrshire (KA6),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Patna Resource Centre,,"1 DOONSIDE AVENUE, PATNA",KA6 7LX,Ayrshire (KA6),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Sandgate Dentistry (Dbc),,"59/61 SANDGATE, AYR",KA7 1DA,Ayrshire (KA7),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Queens Court Dental Practice,,"16 QUEENS COURT, SANDGATE",KA7 1LE,Ayrshire (KA7),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Ayr Dental Studio,,"BOSWELL HOUSE, 10 ARTHUR STREET, AYR",KA7 1QU,Ayrshire (KA7),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Andersson Dental Care,,"14B FULLARTON STREET, AYR",KA7 1UB,Ayrshire (KA7),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Barns Dental Practice,,"19 BARNS STREET, AYR",KA7 1XB,Ayrshire (KA7),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Quadrant Dental Practice,,"3 BARNS STREET, AYR",KA7 1XB,Ayrshire (KA7),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Alloway Place Dental Practice,,"1 ALLOWAY PLACE, AYR",KA7 2AA,Ayrshire (KA7),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
The Dental Clinic Ayr Ltd,,"13 MILLER ROAD, AYR",KA7 2AX,Ayrshire (KA7),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
K Ayr Dental,,"34 NEW ROAD, AYR",KA8 8EX,Ayrshire (KA8),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Dentistry With Care,,"232 PRESTWICK ROAD, AYR",KA8 8NW,Ayrshire (KA8),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Netherfield Dental Practice,,"55 MAIN STREET, PRESTWICK",KA9 1JN,Ayrshire (KA9),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
My Dentist,,"140 MAIN STREET, PRESTWICK",KA9 1PB,Ayrshire (KA9),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
