practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Shanks Dental Care Ltd,,"55 CAPTAINS ROAD, EDINBURGH",EH178HP,Edinburgh & Lothians (EH17),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
64 High Street,,"BONNYRIGG, MIDLOTHIAN",EH192AB,Edinburgh & Lothians (EH19),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
59A High Street,,"BONNYRIGG, MIDLOTHIAN",EH192DB,Edinburgh & Lothians (EH19),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Bonnyrigg Dental Care,,"3 STAISIDE COURT, BONNYRIGG",EH193PZ,Edinburgh & Lothians (EH19),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Edinburgh Gums & Teeth,,"37 FREDERICK STREET, EDINBURGH",EH2 1EP,Edinburgh & Lothians (EH2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Frederick Street Dental Care,,"57 FREDERICK STREET, EDINBURGH",EH2 1LH,Edinburgh & Lothians (EH2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
50 Fountain Place,,"LOANHEAD, MIDLOTHIAN",EH209DU,Edinburgh & Lothians (EH20),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
23 Bridge Street,,"MUSSELBURGH, EAST LOTHIAN",EH216AA,Edinburgh & Lothians (EH21),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Campbell & Gibson Dental Practice,,"4 BRIDGE ST, MUSSELBURGH",EH216AG,Edinburgh & Lothians (EH21),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
31/33 High Street,,"MUSSELBURGH, EAST LOTHIAN",EH217AD,Edinburgh & Lothians (EH21),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
