name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Orthodontics Exclusively,01217 082994,Orthodontics Exclusively,B27 7UT,Birmingham (B27),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.orthoexclusively.co.uk,
Oakville Dental Health Centre,01214 722234,Oakville Dental Health Centre,B29 6NB,Birmingham (B29),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.Oakvilledental.co.uk,
Sutton Dental Care,01213 547570,Sutton Dental Care,B72 1SD,Birmingham (B72),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Sutton Orthodontic Centre,01213 545596,Sutton Orthodontic Centre,B72 1SD,Birmingham (B72),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Solihull Orthodontic Centre,01217 112727,Solihull Orthodontic Centre,B91 1PH,Birmingham (B91),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.solihullorthodonticcentre.co.uk,
Solihull Dental Centre & Implant Clinic,01217 053935,Solihull Dental Centre & Implant Clinic,B91 3SJ,Birmingham (B91),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.solihulldentalcentre.co.uk,
Widney Dental Care,01564 773080,Widney Dental Care,B93 9AW,Birmingham (B93),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.widneydentalcare.co.uk,
Webheath Dental Practice,01527 544999,Webheath Dental Practice,B97 5SF,Birmingham (B97),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.webheathdentalpractice.co.uk,website unreachable
