name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Shine Dental & Facial Limited,01189 349703,Shine Dental & Facial Limited,RG10 9NY,Reading & Berkshire (RG10),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.shine-dental.co.uk,
The Briars Dental Centre,163540311,The Briars Dental Centre,RG14 7LJ,Reading & Berkshire (RG14),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.briarsdentalcentre.com,
Wood Lane Dentistry,01189 722626,Wood Lane Dentistry,RG4 9SJ,Reading & Berkshire (RG4),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.woodlanedentistry.co.uk,
Tranquil Dental,01183 150898,Tranquil Dental,RG40 2AY,Reading & Berkshire (RG40),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.tranquildental.co.uk,
Woodley Dentist,0782 5726812,Woodley Dentist,RG5 3SZ,Reading & Berkshire (RG5),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.woodleydentist.com/,
