"Dental_Practice_Code","address1","address2","address3","pc7","HB","HBQF","HSCP","HSCPQF","CA","CAQF","DataZone","DataZoneQF","Registrations","RegistrationsQF"
627,"8TO8 DENTAL (FORRES)","10 FALCONER AVENUE","FORRES","IV362PA","S08000020","","S37000019","","S12000020","","S01011168","","9278",""
637,"KILMARNOCK SMILE STUDIO","77-79 KING STREET","KILMARNOCK","KA1 1PT","S08000015","","S37000008","","S12000008","","S01008012","","8321",""
639,"CORNER DENTAL PRACTICE","1 PORTLAND ROAD","KILMARNOCK","KA1 2BT","S08000015","","S37000008","","S12000008","","S01008013","","6265",""
641,"ROOTED DENTAL","5 EAST NETHERTON STREET","KILMARNOCK","KA1 4AX","S08000015","","S37000008","","S12000008","","S01007976","","13874",""
642,"CRAIGIE ROAD DENTAL PRACTICE","25 CRAIGIE ROAD","KILMARNOCK","KA1 4EE","S08000015","","S37000008","","S12000008","","S01007974","","2806",""
643,"TEMPLEHILL DENTAL PRACTICE","37 TEMPLEHILL","TROON","KA106BQ","S08000015","","S37000027","","S12000028","","S01012566","","5478",""
644,"SOUTH BEACH DENTAL SURGERY","1 SOUTH BEACH","TROON","KA106EF","S08000015","","S37000027","","S12000028","","S01012566","","5256",""
647,"TROON DENTAL STUDIO","27 BARASSIE STREET","TROON","KA106LX","S08000015","","S37000027","","S12000028","","S01012565","","6559",""
650,"BANK STREET DENTAL PRACTICE","21 BANK STREET","IRVINE","KA120AJ","S08000015","","S37000020","","S12000021","","S01011225","","18660",""
652,"SEAGATE DENTAL PRACTICE","8 SEAGATE","IRVINE","KA128RH","S08000015","","S37000020","","S12000021","","S01011227","","10759",""
655,"ABBEYVIEW DENTAL SURGERY","4 ALMSWALL ROAD","KILWINNING","KA136BN","S08000015","","S37000020","","S12000021","","S01011294","","4678",""
656,"MAIN STREET DENTAL PRACTICE","170 MAIN STREET","KILWINNING","KA136EE","S08000015","","S37000020","","S12000021","","S01011294","","6002",""
658,"ONE DENTAL CARE","16 WILSON STREET","BEITH","KA152BG","S08000015","","S37000020","","S12000021","","S01011352","","5576",""
659,"CUMNOCK DENTAL PRACTICE","MILLBANK LANE","CUMNOCK","KA181AB","S08000015","","S37000008","","S12000008","","S01007918","","2869",""
660,"NEO DENTAL","19 LUGAR STREET","CUMNOCK","KA181AD","S08000015","","S37000008","","S12000008","","S01007918","","5735",""
665,"STEVENSTON CROSS DENTAL","14 FULLARTON PLACE","STEVENSTON","KA203EH","S08000015","","S37000020","","S12000021","","S01011269","","5952",""
667,"THREE TOWNS DENTAL CARE","63-65 DOCKHEAD STREET","SALTCOATS","KA215ED","S08000015","","S37000020","","S12000021","","S01011240","","10856",""
668,"27 BRADSHAW STREET","SALTCOATS",NA,"KA215HR","S08000015","","S37000020","","S12000021","","S01011241","","2647",""
669,"THE DENTAL CENTRE","26/30 COUNTESS STREET","SALTCOATS","KA215HW","S08000015","","S37000020","","S12000021","","S01011240","","6116",""
671,"B. A. COLLINS DENTAL SURGERY","1 EGLINTON ROAD","ARDROSSAN","KA228LL","S08000015","","S37000020","","S12000021","","S01011245","","4552",""
675,"KILBIRNIE DENTAL CENTRE","1 BRIDGEND","KILBIRNIE","KA257DJ","S08000015","","S37000020","","S12000021","","S01011342","","1427",""
680,"BLAIR & BURNETT","15A HIGH STREET","STEWARTON","KA3 5BP","S08000015","","S37000008","","S12000008","","S01007935","","5644",""
682,"LARGS DENTAL SURGERY LTD","46 MAIN STREET","LARGS","KA308AL","S08000015","","S37000020","","S12000021","","S01011326","","8279",""
683,"LARGS DENTAL CARE","26 WILSON STREET","LARGS","KA309AQ","S08000015","","S37000020","","S12000021","","S01011325","","4886",""
684,"GALSTON DENTAL PRACTICE","4-6 CHURCH LANE","GALSTON","KA4 8HE","S08000015","","S37000008","","S12000008","","S01007952","","10657",""
685,"MAYBOLE DENTAL PRACTICE","40 HIGH STEET","MAYBOLE","KA197BZ","S08000015","","S37000027","","S12000028","","S01012439","","10446",""
687,"DRONGAN DENTAL PRACTICE","70 MILL OF SHIELDS ROAD","DRONGAN","KA6 7AY","S08000015","","S37000008","","S12000008","","S01007889","","1526",""
689,"QUEENS COURT DENTAL PRACTICE","16 QUEENS COURT","SANDGATE","KA7 1LE","S08000015","","S37000027","","S12000028","","S01012481","","10097",""
694,"BARNS DENTAL PRACTICE","19 BARNS STREET","AYR","KA7 1XB","S08000015","","S37000027","","S12000028","","S01012482","","9883",""
695,"ALLOWAY PLACE DENTAL PRACTICE","1 ALLOWAY PLACE","AYR","KA7 2AA","S08000015","","S37000027","","S12000028","","S01012482","","9707",""
699,"NETHERFIELD DENTAL PRACTICE","55 MAIN STREET","PRESTWICK","KA9 1JN","S08000015","","S37000027","","S12000028","","S01012519","","7699",""
701,"MY DENTIST","140 MAIN STREET","PRESTWICK","KA9 1PB","S08000015","","S37000027","","S12000028","","S01012521","","10305",""
706,"BRIDGEND HEALTH CARE CENTRE","5 SIR GEORGE STREET","THURSO","KW147AW","S08000022","","S37000016","","S12000017","","S01010799","","184",""
708,"DENTAL CARE PERTH AND IMPLANT CLINIC","23 SOUTH METHVEN ST","PERTH","PH1 5PE","S08000030","","S37000033","","S12000048","","S01011942","","6416",""
711,"REDBURN DENTAL","1-7 REDBURN WYND","KIRKCALDY","KY1 1HZ","S08000029","","S37000032","","S12000047","","S01009478","","1107",""
713,"CHARLOTTE DENTAL PRACTICE","1 CHARLOTTE STREET","KIRKCALDY","KY1 1RN","S08000029","","S37000032","","S12000047","","S01009479","","9349",""
714,"PARK ROAD DENTAL PRACTICE","5 PARK ROAD","KIRKCALDY","KY1 3EL","S08000029","","S37000032","","S12000047","","S01009535","","2532",""
715,"EAST NEUK DENTAL PRACTICE","9 EAST SHORE","ANSTRUTHER","KY103AB","S08000029","","S37000032","","S12000047","","S01009711","","6045",""
717,"PICKERING DENTAL CARE","111 HIGH STREET","INVERKEITHING","KY111NW","S08000029","","S37000032","","S12000047","","S01009383","","2824",""
719,"CHONG KWAN ROSYTH","122 QUEENSFERRY ROAD","ROSYTH","KY112QZ","S08000029","","S37000032","","S12000047","","S01009366","","3248",""
722,"EAST WING SURGERY","32 MAYGATE","DUNFERMLINE","KY127NH","S08000029","","S37000032","","S12000047","","S01009307","","5472",""
723,"COMELY PARK DENTAL PRACTICE","15 COMELY PARK","DUNFERMLINE","KY127HU","S08000029","","S37000032","","S12000047","","S01009309","","351",""
724,"PARK AVENUE DENTAL PRACTICE","16 PARK AVENUE","DUNFERMLINE","KY127HX","S08000029","","S37000032","","S12000047","","S01009309","","335",""
725,"DENTISTRY@CENTURY HOUSE","CENTURY HOUSE, 45 EAST PORT","DUNFERMLINE","KY127JA","S08000029","","S37000032","","S12000047","","S01009307","","237",""
726,"LORNE HOUSE PRACTICE LTD","EAST PORT","DUNFERMLINE","KY127JB","S08000029","","S37000032","","S12000047","","S01009308","","7720",""
727,"HAYES DENTAL PRACTICE","38 CANMORE STREET","DUNFERMLINE","KY127NT","S08000029","","S37000032","","S12000047","","S01009308","","4713",""
