"Dental_Practice_Code","address1","address2","address3","pc7","HB","HBQF","HSCP","HSCPQF","CA","CAQF","DataZone","DataZoneQF","Registrations","RegistrationsQF"
876,"NORTH HARRIS HEALTH HUB","TARBERT","ISLE OF HARRIS","HS3 3BG","S08000028","","S37000031","","S12000013","","S01009024","","1473",""
883,"BALHOUSIE DENTAL PRACTICE","10 BALHOUSIE STREET","PERTH","PH1 5HJ","S08000030","","S37000033","","S12000048","","S01011936","","5957",""
887,"64 HIGH STREET","BLAIRGOWRIE","PERTHSHIRE","PH106DF","S08000030","","S37000033","","S12000048","","S01011993","","11586",""
890,"COUPAR ANGUS DENTAL CARE","7 UNION STREET, COUPAR ANGUS","PERTHSHIRE","PH139AE","S08000030","","S37000033","","S12000048","","S01011970","","3429",""
892,"ANDERSON DENTISTRY","THE CROWN, 10 BANK STREET","ABERFELDY","PH152BB","S08000030","","S37000033","","S12000048","","S01012014","","262",""
895,"SCONE DENTAL PRACTICE","12 CROSS STREET","SCONE","PH2 6LR","S08000030","","S37000033","","S12000048","","S01011955","","199",""
897,"CALEDONIAN DENTAL CARE","45 YORK PLACE","PERTH","PH2 8EH","S08000030","","S37000033","","S12000048","","S01011943","","20126",""
898,"THE PERTH DENTAL CENTRE","17-21 YORK PLACE","PERTH","PH2 8EP","S08000030","","S37000033","","S12000048","","S01011943","","6684",""
899,"4 GRAHAMS PLACE","KING STREET","PERTH","PH2 8HZ","S08000030","","S37000033","","S12000048","","S01011943","","5546",""
904,"KINGUSSIE DENTAL","GYNACK STREET","KINGUSSIE","PH211EL","S08000022","","S37000016","","S12000017","","S01010534","","1327",""
905,"AVIEMORE DENTAL & IMPLANT CLINIC","CRAIG-NA-GOWER AVENUE","AVIEMORE","PH221RW","S08000022","","S37000016","","S12000017","","S01010537","","6597",""
912,"INFINITYBLU DENTAL CARE","LAUREL HOUSE, COMRIE ROAD","CRIEFF","PH7 4BJ","S08000030","","S37000033","","S12000048","","S01011863","","4423",""
916,"INFINITYBLU DENTAL CARE & IMPLANT CLINIC","23 ALBERT PLACE","GALASHIELS, SELKIRKSHIRE","TD1 3DL","S08000016","","S37000025","","S12000026","","S01012284","","4017",""
917,"INFINITYBLU DENTAL CARE & IMPLANT CLINIC","40 MARKET SQUARE","DUNS, BERWICKSHIRE","TD113AL","S08000016","","S37000025","","S12000026","","S01012306","","1873",""
919,"OLD TELEPHONE EXCHANGE","UPPER HOUNDLAW","EYEMOUTH","TD145BU","S08000016","","S37000025","","S12000026","","S01012316","","4145",""
921,"THE CORN EXCHANGE","31 WOODMARKET","KELSO","TD5 7AT","S08000016","","S37000025","","S12000026","","S01012339","","676",""
923,"SELKIRK DENTAL PRACTICE","25 WEST PORT","SELKIRK","TD7 4DG","S08000016","","S37000025","","S12000026","","S01012381","","5530",""
924,"CLEARWATER DENTAL","11 HIGH STREET","JEDBURGH","TD8 6AQ","S08000016","","S37000025","","S12000026","","S01012353","","1837",""
926,"41 NORTH BRIDGE STREET","HAWICK","ROXBURGHSHIRE","TD9 9PX","S08000016","","S37000025","","S12000026","","S01012366","","647",""
927,"TEVIOT DENTAL PRACTICE","20 NORTH BRIDGE STREET","HAWICK","TD9 9QW","S08000016","","S37000025","","S12000026","","S01012366","","453",""
931,"BRAE DENTAL CLINIC","BRAE HEALTH CENTRE","BRAE, SHETLAND","ZE2 9QJ","S08000026","","S37000026","","S12000027","","S01012410","","15167",""
934,"BANK STREET DENTAL PRACTICE","19 BANK STREET","GALASHIELS","TD1 1EN","S08000016","","S37000025","","S12000026","","S01012278","","11310",""
936,"L&H DENTAL CARE","72 CADZOW STREET","HAMILTON","ML3 6DS","S08000032","","S37000028","","S12000029","","S01012720","","633",""
956,"PORTLAND DENTAL PRACTICE","13 PORTLAND ROAD","KILMARNOCK","KA1 2BT","S08000015","","S37000008","","S12000008","","S01008013","","15705",""
958,"BELHAVEN DENTAL SURGERY","SCARLOW HOUSE,2 SCARLOW ST","PORT GLASGOW","PA145EY","S08000031","","S37000017","","S12000018","","S01010911","","8665",""
960,"OAKLEY DENTAL PRACTICE","THE HEALTH CENTRE, WARDLAW WAY","OAKLEY","KY129QH","S08000029","","S37000032","","S12000047","","S01009270","","5432",""
963,"SOUTH WEST SMILE CARE CENTRE","34 BRIDGE STREET","STRANRAER","DG9 7JF","S08000017","","S37000006","","S12000006","","S01007487","","4815",""
964,"STIRLING DENTAL PRACTICE","23 PRINCESS STREET","STIRLING","FK8 1HQ","S08000019","","S37000005","","S12000030","","S01013069","","3041",""
966,"33 POLWARTH GARDENS","EDINBURGH",NA,"EH111LA","S08000024","","S37000012","","S12000036","","S01008645","","217",""
973,"COMPLETE DENTAL CARE","253 PAISLEY ROAD WEST","GLASGOW","G51 1NB","S08000031","","S37000034","","S12000049","","S01009869","","4882",""
974,"BANFF DENTAL PRACTICE","7A BOYNDIE STREET","BANFF","AB451DY","S08000020","","S37000002","","S12000034","","S01007036","","7576",""
977,"HILLCLOCK DENTAL SURGERY","9-11 MAINS ROAD","DUNDEE","DD3 7RH","S08000030","","S37000007","","S12000042","","S01007717","","4351",""
978,"T/A FRITHSIDE DENTAL CARE","32-36 FRITHSIDE STREET","FRASERBURGH","AB439AR","S08000020","","S37000002","","S12000034","","S01007121","","8056",""
1027,"GIRVAN DENTAL SURGERY","78 DALRYMPLE STREET","GIRVAN","KA269BT","S08000015","","S37000027","","S12000028","","S01012430","","6838",""
1030,"RENFREW DENTAL STUDIO","156A PAISLEY ROAD","RENFREW","PA4 8DA","S08000031","","S37000024","","S12000038","","S01012162","","7743",""
1031,"CHONG KWAN 6A HIGH STR","6A HIGH STREET","DUNFERMLINE","KY127AR","S08000029","","S37000032","","S12000047","","S01009307","","2004",""
1037,"CATHCART DENTAL SURGERY","583 CATHCART ROAD","GLASGOW","G42 8AD","S08000031","","S37000034","","S12000049","","S01009894","","3592",""
1040,"LOCHEE DENTAL CARE","48 HIGH STREET","DUNDEE","DD2 3AW","S08000030","","S37000007","","S12000042","","S01007853","","4296",""
1043,"40 EAST MAIN STREET","BROXBURN","WEST LOTHIAN","EH525AE","S08000024","","S37000030","","S12000040","","S01013479","","1564",""
1044,"GREENLAW DENTAL CARE","25 GLASGOW ROAD","PAISLEY","PA1 3QY","S08000031","","S37000024","","S12000038","","S01012134","","7643",""
1046,"THE BALFOUR","FORELAND ROAD","KIRKWALL","KW151NZ","S08000025","","S37000022","","S12000023","","S01011817","","4733",""
1049,"MF DENTALCARE","243 FORREST STREET","AIRDRIE","ML6 7AY","S08000032","","S37000035","","S12000050","","S01011674","","3053",""
1057,"26-28 MAIN STREET","DAVIDSON MAINS","EDINBURGH","EH4 5BY","S08000024","","S37000012","","S12000036","","S01008937","","1033",""
1059,"PALMER MCA & ASSOCIATES","19 RUBISLAW TERRACE","ABERDEEN","AB101XE","S08000020","","S37000001","","S12000033","","S01006571","","1370",""
1063,"K M DENTAL CARE","5 DRUMOYNE ROAD","GLASGOW","G51 4BJ","S08000031","","S37000034","","S12000049","","S01009840","","7223",""
1064,"LINKS DENTAL PRACTICE","101-103 WHITEHOUSE LOAN","EDINBURGH","EH9 1AT","S08000024","","S37000012","","S12000036","","S01008623","","509",""
1067,"TARBERT DENTAL","HARBOUR STREET","TARBERT","PA296UB","S08000022","","S37000004","","S12000035","","S01007323","","5157",""
1078,"KILCOYNE DENTAL CARE","27 DOUGLAS STREET","HAMILTON","ML3 0BP","S08000032","","S37000028","","S12000029","","S01012793","","6439",""
1082,"GLASGOW SMILE CLINIC","950 ARGYLE STREET","GLASGOW","G3  8LU","S08000031","","S37000034","","S12000049","","S01010279","","1258",""
1083,"STATION DENTAL PRACTICE","133 STATION ROAD","SHOTTS","ML7 4BJ","S08000032","","S37000035","","S12000050","","S01011430","","5785",""
1084,"BANKHOUSE DENTAL CARE","17 EAST HIGH STREET","AIRDRIE","ML6 6LF","S08000032","","S37000035","","S12000050","","S01011665","","4193",""
1085,"3/4  OCHILVIEW SQUARE","ARMADALE","WEST LOTHIAN","EH483EP","S08000024","","S37000030","","S12000040","","S01013383","","5386",""
1086,"SHETTLESTON DENTAL SURGERY","1224 SHETTLESTON ROAD","GLASGOW","G32 7PG","S08000031","","S37000034","","S12000049","","S01010141","","3360",""
1088,"GLENCOE DENTAL CENTRE","LORN DRIVE","GLENCOE","PH494HP","S08000022","","S37000016","","S12000017","","S01010526","","3628",""
1090,"N. J. ROLFE & ASSOCIATES LTD","139 EASTWOODMAINS ROAD","CLARKSTON, GLASGOW","G76 7HB","S08000031","","S37000011","","S12000011","","S01008383","","5978",""
1095,"ORMLIE HILL DENTAL CLINIC","ORMLIE HILL","THURSO","KW147DY","S08000022","","S37000016","","S12000017","","S01010805","","5050",""
1096,"INSHES DENTAL CENTRE","3 CRADLEHALL COURT","INVERNESS","IV2 5WD","S08000022","","S37000016","","S12000017","","S01010582","","4449",""
1103,"BARNTON DENTAL SPA","1B PARKGROVE STREET","EDINBURGH","EH4 7NS","S08000024","","S37000012","","S12000036","","S01008948","","1497",""
1104,"17 MAIN STREET","KIRKLISTON","WEST LOTHIAN","EH299AE","S08000024","","S37000012","","S12000036","","S01008999","","5834",""
1106,"THE MANOR DENTAL","6 MANOR CRESCENT","TULLIBODY","FK102RJ","S08000019","","S37000005","","S12000005","","S01007412","","5007",""
1108,"CARDEN PLACE DENTAL PRACTICE","32 CARDEN PLACE","ABERDEEN","AB101UP","S08000020","","S37000001","","S12000033","","S01006571","","5333",""
1109,"UNIT 4, 8 SPRINGFIELD COURT","LINLITHGOW","WEST LOTHIAN","EH497TQ","S08000024","","S37000030","","S12000040","","S01013450","","1541",""
1110,"35 WEST MAIN STREET","BROXBURN","WEST LOTHIAN","EH525RQ","S08000024","","S37000030","","S12000040","","S01013479","","9979",""
1111,"WHITEMOSS DENTAL","27 WHITEMOSS ROAD","THE VILLAGE, EAST KILBRIDE","G74 4JB","S08000032","","S37000028","","S12000029","","S01012930","","9509",""
1112,"HUTCHESON JPS & ASSOCIATES","230 ROSEMOUNT PLACE","ABERDEEN","AB252XT","S08000020","","S37000001","","S12000033","","S01006569","","577",""
1113,"COMMONWEALTH DENTAL PRACTICE","362/364 DUKE STREET","DENNISTOUN, GLASGOW","G31 1RE","S08000031","","S37000034","","S12000049","","S01010256","","13565",""
1118,"NEIL GORDON & ASSOCIATES","237 LOW WATERS ROAD","HAMILTON","ML3 7QN","S08000032","","S37000028","","S12000029","","S01012711","","8335",""
1135,"NEWYEARFIELD  DENTAL CENTRE","HAWK BRAE","LIVINGSTON","EH546TW","S08000024","","S37000030","","S12000040","","S01013330","","5480",""
1138,"SCOBIE & WALKER DENTAL","LEVEL 4, HOULDSWORTH CENTRE","WISHAW","ML2 7LP","S08000032","","S37000035","","S12000050","","S01011401","","7551",""
1140,"CLARK DENTAL CLINIC LTD","52 HANOVER STREET","FRASERBURGH","AB439HX","S08000020","","S37000002","","S12000034","","S01007127","","853",""
1145,"MOODIESBURN DENTAL CARE","14 BLACKWOODS CRESCENT","MOODIESBURN","G69 0EN","S08000032","","S37000035","","S12000050","","S01011713","","6446",""
1146,"ANDERSSON DENTAL CARE","14B FULLARTON STREET","AYR","KA7 1UB","S08000015","","S37000027","","S12000028","","S01012481","","2058",""
1147,"ALLANDER DENTAL CARE","7 STEWART STREET","MILNGAVIE, GLASGOW","G62 6BW","S08000031","","S37000009","","S12000045","","S01008046","","4356",""
1150,"26 UNION STREET (DOWNSTAIRS)","DUNDEE",NA,"DD1 4BE","S08000030","","S37000007","","S12000042","","S01007706","","732",""
1153,"WOODHILL DENTAL CARE","176 WOODHILL ROAD","BISHOPBRIGGS, GLASGOW","G64 1DH","S08000031","","S37000009","","S12000045","","S01008113","","2847",""
1155,"SOUTHSIDE PRIVATE ORAL SURGERY","28 SOUTHSIDE ROAD","INVERNESS","IV2 3BG","S08000022","","S37000016","","S12000017","","S01010628","","6",""
1161,"CAMPBELL & GIBSON DENTAL AND IMPLANT CEN","19 MARKET PLACE","NORTH BERWICK","EH394JF","S08000024","","S37000010","","S12000010","","S01008271","","829",""
1162,"GENTLE DENTAL CARE","32 CANMORE STREET","DUNFERMLINE","KY127NT","S08000029","","S37000032","","S12000047","","S01009308","","885",""
1167,"IRELAND&YUILL FAMILY DENTAL PRACTICE","62 BUSBY ROAD","CLARKSTON, GLASGOW","G76 7AT","S08000031","","S37000011","","S12000011","","S01008378","","2435",""
1169,"BUPA DENTAL CARE","356 DUMBARTON ROAD","PARTICK, GLASGOW","G11 6TG","S08000031","","S37000034","","S12000049","","S01010396","","8239",""
1174,"HILTON DENTAL PRACTICE","2 HILTON STREET","ABERDEEN","AB244QX","S08000020","","S37000001","","S12000033","","S01006689","","498",""
1177,"BEARSDEN DENTAL CARE","8-12 LEDI DRIVE","BEARSDEN, GLASGOW","G61 4JJ","S08000031","","S37000009","","S12000045","","S01008061","","7637",""
1179,"28 ANNANDALE STREET","EDINBURGH",NA,"EH7 4AN","S08000024","","S37000012","","S12000036","","S01008845","","6529",""
1180,"AIRTHREY PARK DENTAL CENTRE","HERMITAGE ROAD","STIRLING","FK9 4LA","S08000019","","S37000005","","S12000030","","S01013083","","6762",""
1181,"THE WEST WING","32 MAYGATE","DUNFERMLINE","KY127NH","S08000029","","S37000032","","S12000047","","S01009307","","1292",""
1188,"HOLBURN DENTAL CARE","616 HOLBURN STREET","ABERDEEN","AB107JQ","S08000020","","S37000001","","S12000033","","S01006599","","5733",""
1190,"FRESH DENTAL & COSMETIC STUDIO","1555 GREAT WESTERN ROAD","GLASGOW","G13 1HN","S08000031","","S37000034","","S12000049","","S01010469","","4384",""
1191,"176-178 ST JOHN'S ROAD","EDINBURGH",NA,"EH128BE","S08000024","","S37000012","","S12000036","","S01008970","","8380",""
1230,"INFINITYBLU DENTAL CARE & IMPLANT CLINIC","7 KINGSMEADOWS ROAD","PEEBLES","EH459EN","S08000016","","S37000025","","S12000026","","S01012259","","2092",""
1236,"IVY COTTAGE DENTAL SURGERY","MAIN STREET","INVERKIP","PA160AU","S08000031","","S37000017","","S12000018","","S01010829","","4319",""
1241,"IAN ROBERTSON DENTAL CARE","10 BROTHOCK BRIDGE","ARBROATH","DD111NG","S08000030","","S37000003","","S12000041","","S01007186","","8842",""
1243,"MCCALLUM & LOGUE","10 DUNKENNY SQUARE","DRUMCHAPEL, GLASGOW","G15 8NB","S08000031","","S37000034","","S12000049","","S01010499","","5146",""
1248,"MCMANUS & SCOTT DENTAL","5 MAIN STREET","HOLYTOWN","ML1 4TA","S08000032","","S37000035","","S12000050","","S01011499","","11014",""
1250,"THE PARK PRACTICE","61 PARK ROAD","GLASGOW","G4  9JE","S08000031","","S37000034","","S12000049","","S01010291","","5884",""
2965,"DENTISTRY @ NO 3","3 COMELY PARK","DUNFERMLINE","KY127HU","S08000029","","S37000032","","S12000047","","S01009309","","241",""
3821,"CLYDE DENTAL BAILLIESTON","120 MAIN STREET","BAILLIESTON, GLASGOW","G69 6AE","S08000031","","S37000034","","S12000049","","S01010089","","2279",""
3873,"DEVONSHIRE DENTAL CARE","164 HYNDLAND ROAD","GLASGOW","G12 9HZ","S08000031","","S37000034","","S12000049","","S01010401","","3136",""
3892,"THE BRIDGES DENTAL CLINIC","THE BRIDGES,5-9 BACK BRIDGE ST","WICK","KW1 4AH","S08000022","","S37000016","","S12000017","","S01010782","","4303",""
3922,"ROYSTON DENTAL PRACTICE","141-147 CHARLES ST","GLASGOW","G21 2QA","S08000031","","S37000034","","S12000049","","S01010225","","8712",""
3933,"FALKIRK COMMUNITY HOSPITAL","MAJOR'S LOAN","FALKIRK","FK1 5QE","S08000019","","S37000013","","S12000014","","S01009155","","1861",""
3954,"ARDROSSAN DENTAL CARE","31 GLASGOW STREET","ARDROSSAN","KA228EP","S08000015","","S37000020","","S12000021","","S01011243","","3941",""
4138,"KIRKCUDBRIGHT DENTAL SURGERY","LESLIE HOUSE,50 ST CUTHBERT ST.","KIRKCUDBRIGHT","DG6 4DZ","S08000017","","S37000006","","S12000006","","S01007526","","2533",""
4143,"RANKIN DENTAL","30 ELLON ROAD","BRIDGE OF DON","AB238BX","S08000020","","S37000001","","S12000033","","S01006784","","5562",""
4187,"SPRING GROVE CLINIC","DUNDAS STREET","COMRIE","PH6 2LN","S08000030","","S37000033","","S12000048","","S01011861","","235",""
4192,"MICHAEL KELLY DENTISTRY","741 CLARKSTON ROAD","GLASGOW","G44 3XZ","S08000031","","S37000011","","S12000011","","S01008391","","2684",""
4247,"GRAYS DENTAL SURGERY","7 WEST COATS ROAD","CAMBUSLANG","G72 8AA","S08000032","","S37000028","","S12000029","","S01012845","","3791",""
4260,"MEARNS CROSS DENTAL & IMPLANT CENTRE","3 EAGLESHAM ROAD","NEWTON MEARNS","G77 5BW","S08000031","","S37000011","","S12000011","","S01008343","","10490",""
4270,"147 BRUNTSFIELD PLACE","EDINBURGH",NA,"EH104EB","S08000024","","S37000012","","S12000036","","S01008637","","9917",""
4289,"KESSINGTON DENTAL PRACTICE","53 MILNGAVIE ROAD","GLASGOW","G61 2DW","S08000031","","S37000009","","S12000045","","S01008077","","5545",""
4294,"{MY} DENTIST","72 HILLHOUSE ROAD","HAMILTON","ML3 9TE","S08000032","","S37000028","","S12000029","","S01012748","","6995",""
4303,"CARE DENTAL","34-36 COMRIE STREET","CRIEFF","PH7 4AX","S08000030","","S37000033","","S12000048","","S01011863","","4401",""
4304,"JEDBURGH FAMILY DENTAL PRACTICE","JEDBURGH HEALTH CENTRE","QUEEN ST.,JEDBURGH","TD8 6EN","S08000016","","S37000025","","S12000026","","S01012352","","8518",""
4306,"DUNCAN STREET DENTAL CENTRE","14-16 DUNCAN STREET","EDINBURGH","EH9 1SR","S08000024","","S37000012","","S12000036","","S01008604","","5451",""
4313,"HIGH VALLEYFIELD DENTAL CLINIC","CHAPEL STREET","HIGH VALLEYFIELD","KY128SJ","S08000029","","S37000032","","S12000047","","S01009280","","2060",""
4319,"MOTHERWELL HEALTH CENTRE DENTAL DEPT","138-144 WINDMILLHILL STREET","MOTHERWELL","ML1 1TB","S08000032","","S37000035","","S12000050","","S01011474","","5619",""
4331,"EASTERHOUSE DENTAL SURGERY","36 WARDIE ROAD","GLASGOW","G33 4PD","S08000031","","S37000034","","S12000049","","S01010130","","2619",""
4339,"1ST FLOOR","21 ALBERT SQUARE","DUNDEE","DD1 1DJ","S08000030","","S37000007","","S12000042","","S01007705","","1828",""
4346,"11 MAIN STREET","BRIDGEND","PERTH","PH2 7HD","S08000030","","S37000033","","S12000048","","S01011948","","4035",""
4352,"MCMANUS & SCOTT DENTAL","54 HIGH STREET","NEWARTHILL","ML1 5JU","S08000032","","S37000035","","S12000050","","S01011453","","6339",""
4354,"DENTAL FX","84 DRYMEN ROAD BEARSDEN","GLASGOW","G61 2RH","S08000031","","S37000009","","S12000045","","S01008077","","252",""
4355,"WALLDANE DENTAL","6 WEIR STREET","FALKIRK","FK1 1RA","S08000019","","S37000013","","S12000014","","S01009153","","6205",""
4371,"SALTIRE DENTAL PRACTICE","15 JUBILEE HOUSE,PENTLAND PARK","GLENROTHES","KY6 2AH","S08000029","","S37000032","","S12000047","","S01009565","","3154",""
4396,"FERRYBURN DENTAL CARE","FERRYBURN HOUSE 23A ROSEBERY AVE","SOUTH QUEENSFERRY","EH309JG","S08000024","","S37000012","","S12000036","","S01009007","","1076",""
4407,"FAIRMILEHEAD DENTAL PRACTICE","6 OXGANGS ROAD","EDINBURGH","EH107AU","S08000024","","S37000012","","S12000036","","S01008545","","854",""
4410,"{MY}DENTIST","28 HIGH STREET","CARLUKE","ML8 4AJ","S08000032","","S37000028","","S12000029","","S01012614","","10106",""
4411,"THE OLD POST OFFICE DENTAL PRACTICE","91 BANK STREET","ALEXANDRIA","G83 0LZ","S08000031","","S37000029","","S12000039","","S01013223","","9223",""
4413,"DEESIDE DENTAL CARE","9 STATION ROAD","BANCHORY","AB315XX","S08000020","","S37000002","","S12000034","","S01006865","","4879",""
4414,"GREENOCK HEALTH CENTRE","DENTAL DEPARTMENT","20 DUNCAN ST. GREENOCK","PA154LY","S08000031","","S37000017","","S12000018","","S01010888","","6495",""
4422,"QUADRANT DENTAL PRACTICE","3 BARNS STREET","AYR","KA7 1XB","S08000015","","S37000027","","S12000028","","S01012482","","4616",""
4423,"50 FOUNTAIN PLACE","LOANHEAD","MIDLOTHIAN","EH209DU","S08000024","","S37000018","","S12000019","","S01010969","","5384",""
4431,"OAK TREE DENTAL CENTRE","14-16 TOWNHEAD","KIRKINTILLOCH","G66 1NL","S08000031","","S37000009","","S12000045","","S01008131","","6367",""
4435,"WESTHILL DENTAL PRACTICE","FIR LODGE, OLD SKENE ROAD","WESTHILL,ABERDEEN","AB326UB","S08000020","","S37000002","","S12000034","","S01006945","","1091",""
4436,"LOMOND DENTAL CARE","162 MAIN STREET","ALEXANDRIA","G83 0NZ","S08000031","","S37000029","","S12000039","","S01013223","","5154",""
4437,"DUNBAR DENTAL CLINIC","DUNBAR HOSPITAL","ORMLIE RD, THURSO","KW147XE","S08000022","","S37000016","","S12000017","","S01010797","","5342",""
4442,"ARDUTHIE DENTAL PRACTICE","ARDUTHIE BUSINESS CENTRE","KIRKTON ROAD STONEHAVEN","AB392NQ","S08000020","","S37000002","","S12000034","","S01006826","","4708",""
4450,"82 MAIN STREET","INVERGOWRIE",NA,"DD2 5AA","S08000030","","S37000033","","S12000048","","S01011968","","4092",""
4456,"TOLLCROSS DENTAL PRACTICE","1263 TOLLCROSS ROAD","GLASGOW","G32 8HA","S08000031","","S37000034","","S12000049","","S01010069","","4875",""
4457,"ABBEYLANDS DENTAL PRACTICE","6 MILLDAM ROAD","FAIFLEY, GLASGOW","G81 5JN","S08000031","","S37000029","","S12000039","","S01013157","","5577",""
4472,"TRINITY DENTAL CARE","37 BANK STREET","KILMARNOCK","KA1 1ER","S08000015","","S37000008","","S12000008","","S01008012","","2595",""
4473,"ONE EIGHTY DENTAL","180 WOODHILL ROAD","BISHOPBRIGGS, GLASGOW","G64 1DH","S08000031","","S37000009","","S12000045","","S01008113","","3806",""
4475,"GLENARD HOUSE","BRODICK","ISLE OF ARRAN","KA278DN","S08000015","","S37000020","","S12000021","","S01011177","","651",""
4476,"THE CRAIGENTINNY DENTAL HEALTH CENTRE","57 DUDDINGSTON CRESCENT","EDINBURGH","EH153AY","S08000024","","S37000012","","S12000036","","S01008716","","5937",""
4497,"AMA DENTISTRY","53 CLIPPENS ROAD","LINWOOD","PA3 3PU","S08000031","","S37000024","","S12000038","","S01012218","","2159",""
4502,"OASIS DENTAL CARE GLASGOW","1823 PAISLEY ROAD WEST","GLASGOW","G52 3SS","S08000031","","S37000034","","S12000049","","S01009806","","12240",""
4508,"T/A BUPA DENTAL CARE","STONEYFIELD BUSINESS PARK","INVERNESS","IV2 7PA","S08000022","","S37000016","","S12000017","","S01010619","","5300",""
4509,"212-214 MORRISON STREET","EDINBURGH",NA,"EH3 8EA","S08000024","","S37000012","","S12000036","","S01008660","","4344",""
4513,"CHALMERS DENTAL CENTRE","3 CHALMERS STREET","EDINBURGH","EH3 9EW","S08000024","","S37000012","","S12000036","","S01008667","","65",""
4518,"BIRCHFIELD DENTAL CARE","35 GLASGOW ROAD","DENNY","FK6 5DW","S08000019","","S37000013","","S12000014","","S01009059","","9873",""
4521,"GARIOCH DENTAL PRACTICE","69 MARKET PLACE","INVERURIE ABERDEENSHIRE","AB513PY","S08000020","","S37000002","","S12000034","","S01006907","","795",""
4533,"EAST KILBRIDE DENTAL CARE","5 OLD COACH ROAD","EAST KILBRIDE","G74 4DS","S08000032","","S37000028","","S12000029","","S01012933","","5120",""
4537,"CULLODEN DENTAL CARE","HEALTH CENTRE, KEPPOCH RD","CULLODEN","IV2 7LL","S08000022","","S37000016","","S12000017","","S01010572","","5770",""
4538,"DUMFRIES DENTAL CENTRE","BANKEND ROAD","DUMFRIES","DG1 4AP","S08000017","","S37000006","","S12000006","","S01007600","","2405",""
4541,"TEMPLEHALL DENTAL PRACTICE","BEAULY PLACE","KIRKCALDY","KY2 6EX","S08000029","","S37000032","","S12000047","","S01009501","","36524",""
4564,"DENTAL THERAPY MOSSPARK","5 AIRTH PLACE","MOSSPARK, GLASGOW","G52 1JT","S08000031","","S37000034","","S12000049","","S01009852","","4016",""
4574,"3 SCARHILL STREET","COATBRIDGE",NA,"ML5 5BD","S08000032","","S37000035","","S12000050","","S01011565","","4792",""
4575,"CLYDE VALLEY DENTAL PRACTICE","41 LANARK ROAD","CROSSFORD","ML8 5RE","S08000032","","S37000028","","S12000029","","S01012615","","9554",""
4592,"NHS BORDERS DENTAL CENTRE","HAWICK COMMUNITY HOSPITAL","VICTORIA ROAD, HAWICK","TD9 7AH","S08000016","","S37000025","","S12000026","","S01012372","","7526",""
4614,"EH10 DENTAL","1 MILLAR CRESCENT","EDINBURGH","EH105HN","S08000024","","S37000012","","S12000036","","S01008631","","6088",""
4615,"BUPA DENTAL CARE","276 DUMBARTON ROAD","GLASGOW","G11 6AB","S08000031","","S37000034","","S12000049","","S01010386","","10944",""
4618,"DENTAL DEPT. ASSYNT HOUSE","BEECHWOOD PARK","INVERNESS","IV2 3BW","S08000022","","S37000016","","S12000017","","S01010624","","19201",""
4620,"MEADOWBANK DENTAL PRACTICE","15 EARLSTON PLACE","EDINBURGH","EH7 5SU","S08000024","","S37000012","","S12000036","","S01008690","","15364",""
4625,"(MY) DENTIST","37 LEWIS STREET","STRANRAER","DG9 7AB","S08000017","","S37000006","","S12000006","","S01007487","","4915",""
4629,"REDMOND&RENNISON DENTAL CARE","29 GLASGOW ROAD","CLYDEBANK,GLASGOW","G81 5PJ","S08000031","","S37000029","","S12000039","","S01013151","","5024",""
4640,"ORTHODONTIC LOUNGE","3 LOREBURNE SHOPPING CENTRE","DUMFRIES","DG1 2BL","S08000017","","S37000006","","S12000006","","S01007612","","3978",""
4644,"6 MAIN STREET","ROSLIN","MIDLOTHIAN","EH259LE","S08000024","","S37000018","","S12000019","","S01010959","","7434",""
4645,"43/6 MARKET STREET","HADDINGTON",NA,"EH413JE","S08000024","","S37000010","","S12000010","","S01008256","","4136",""
4647,"NEW TOWN DENTAL PRACTICE","4 HENDERSON ROW","EDINBURGH","EH3 5DS","S08000024","","S37000012","","S12000036","","S01008855","","785",""
4658,"CITY HEALTH CLINIC","9 EARL GREY STREET","EDINBURGH","EH3 9BN","S08000024","","S37000012","","S12000036","","S01008663","","7452",""
4670,"T/A FRASERBURGH DENTAL CARE","5 ALBERT STREET","FRASERBURGH","AB439JL","S08000020","","S37000002","","S12000034","","S01007126","","6055",""
4679,"PANMURE DENTAL CARE","150 PANMUREFIELD VILLAGE","DUNDEE","DD5 3UP","S08000030","","S37000007","","S12000042","","S01007775","","4695",""
4681,"DALGETY BAY DENTAL PRACTICE","7 MORAY WAY NORTH","DALGETY BAY","KY119NH","S08000029","","S37000032","","S12000047","","S01009402","","2802",""
4683,"KINGSPORT DENTAL CLINIC","4 KINGSPORT AVENUE","HOWDEN LIVINGSTON","EH546BA","S08000024","","S37000030","","S12000040","","S01013311","","9852",""
4685,"CORSEHILL DENTAL CARE","17 GILMOUR STREET","STEWARTON","KA3 5AZ","S08000015","","S37000008","","S12000008","","S01007932","","5357",""
4687,"DENTAL SERVICES,LOWER GROUND FLOOR","AYR HOSPITAL, DALMELLINGTON RD","AYR","KA6 6DX","S08000015","","S37000027","","S12000028","","S01012444","","6644",""
4689,"DENTAL SURGERY","461 VICTORIA ROAD","GLASGOW","G42 8RW","S08000031","","S37000034","","S12000049","","S01009906","","3370",""
4693,"ENVISAGE DENTAL HEALTH FALKIRK","54/58 COW WYND","FALKIRK","FK1 1PU","S08000019","","S37000013","","S12000014","","S01009152","","3535",""
