name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Bradley Shorthouse Dental Clinic,01562 822052,Bradley Shorthouse Dental Clinic,DY10 2AW,Dudley & Black Country (DY10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.bradleyshorthouse.co.uk,
Mercian House Dental Practice,01299 827437,Mercian House Dental Practice,DY13 9EE,Dudley & Black Country (DY13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Kinver Dental & Implant Surgery,01384 872725,Kinver Dental & Implant Surgery,DY7 6AB,Dudley & Black Country (DY7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
