name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Lowen Dental Spa,02380 266658,Lowen Dental Spa,SO51 0DU,Southampton & Eastleigh (SO51),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.lowendentalspa.co.uk,
Clover Dental & Implant Centre,02380 738787,Clover Dental & Implant Centre,SO52 9EP,Southampton & Eastleigh (SO52),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.cloverdental.co.uk,
