name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Bank View Smile Studios,01254 367605,Bank View Smile Studios,BB2 6AY,Blackburn (BB2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.bankviewsmilestudios.co.uk,
AP Smilecare,01254 676386,AP Smilecare,BB2 6BJ,Blackburn (BB2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.apsmilecare.co.uk,
Bateman & Best,01254 773512,Bateman & Best,BB3 0AA,Blackburn (BB3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.batemanandbest.co.uk,
Rossendale Dental Health Centre,01706 836130,Rossendale Dental Health Centre,BB4 8HH,Blackburn (BB4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Abbey Street Dental Practice,01254 231700,Abbey Street Dental Practice,BB5 1EH,Blackburn (BB5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Avenue Parade Dental Practice,01254 231219,Avenue Parade Dental Practice,BB5 6PN,Blackburn (BB5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.apdp.co.uk,
Dentistry for All,01282 618976,Dentistry for All,BB9 7XH,Blackburn (BB9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Reedyford Dental Centre,01282 614352,Reedyford Dental Centre,BB9 8EH,Blackburn (BB9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Barrowford Dental Practice,01282 611844,Barrowford Dental Practice,BB9 8ND,Blackburn (BB9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.barrowford-dental.co.uk,
