name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Pontefract Dental Care,01977 780077,Pontefract Dental Care,WF8 1AW,Wakefield (WF8),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,https://www.pontefractdentalcare.co.uk,
Trinity House Orthodontics,01924 369696,Trinity House Orthodontics,WF1 3AZ,Wakefield (WF1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Junction Dental Practice,01924 402589,Junction Dental Practice,WF16 0DY,Wakefield (WF16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
R S Nicholson & Associates - Crofton Dental Practice,01924 863018,R S Nicholson & Associates - Crofton Dental Practice,WF4 1NF,Wakefield (WF4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
South Elmsall Family Dental Centre,01159 790909,South Elmsall Family Dental Centre,WF9 2RN,Wakefield (WF9),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Nationwide Healthcare,Yes,,
