name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Genix Healthcare Middlesbrough Limited,01642 246207,Genix Healthcare Middlesbrough Limited,TS1 3QW,Teesside (TS1),Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Genix Healthcare,No,https://www.genixhealthcare.com,
Genix Healthcare Marske Ltd,01642 484662,Genix Healthcare Marske Ltd,TS11 7LA,Teesside (TS11),Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Genix Healthcare,No,https://www.genixhealthcare.com,
