name,phone,company,postcode,yo_area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Bishopthorpe Dental Centre,01904 703427,Bishopthorpe Dental Centre,YO23 2QQ,York west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.woodthorpedentalcentre.co.uk,website unreachable
Copmanthorpe Dental Centre,01904 706291,Copmanthorpe Dental Centre,YO23 3XT,York west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.woodthorpedentalcentre.co.uk,website unreachable
Woodthorpe Dental Centre,01904 706795,Woodthorpe Dental Centre,YO24 2RQ,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.woodthorpedentalcentre.co.uk,website unreachable
Acomb Dental Practice,01904 794021,Acomb Dental Practice,YO24 3BZ,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Manor House Dental Practice,01904 797434,Manor House Dental Practice,YO26 5RU,York west/Acomb,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.manorhousedentalpractice.co.uk,
Clock House Dental,01904 422918,Clock House Dental,YO31 1AN,York east/Heworth,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
