name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Synergy Dental Clinic - South Shore,01253 348616,Synergy Dental Clinic - South Shore,FY1 6LA,Blackpool (FY1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.synergydental.org.uk,
Woodlands Dental,01253 731800,Woodlands Dental,FY8 1DA,Blackpool (FY8),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.woodlands-dental.co.uk,
The Lytham Dental Clinic,01253 736633,The Lytham Dental Clinic,FY8 5EW,Blackpool (FY8),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.lythamdental.co.uk,
Genix Healthcare Blackpool Ltd,01253 956500,Genix Healthcare Blackpool Ltd,FY3 8NX,Blackpool (FY3),Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Genix Healthcare,No,https://www.genixhealthcare.com,
