company_name,company_number,registered_office_address,postcode,phone,website,sic_codes,company_status,date_of_creation,director_names,director_roles,officer_count,crm_detected,crm_confidence,crm_evidence,blast_segment,wisecall_tier,corporate_group,corporate_group_name,area,source,notes
DIBBA'S ESTATE AGENTS LTD,13912015,"6 Ashton Close, Swindon, SN25 2AH, England",SN25 2AH,,,68310,active,2022-02-12,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SN25,Companies House API,
EDISON GREEN ESTATE AGENTS LTD,12070495,"126 High Street, Southampton, Hampshire, SO14 2AA, England",SO14 2AA,,,"68310, 68320",active,2019-06-26,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SO14,Companies House API,
BLUE HOUSE ESTATE AGENTS LTD,07330720,"Office D Beresford House, Town Quay, Southampton, SO14 2AQ",SO14 2AQ,,,68310,dissolved,2010-07-29,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SO14,Companies House API,
BRAMBLES ESTATE AGENTS (WARSASH) LIMITED,09188517,"Tagus House, 9 Ocean Way, Southampton, Hampshire, SO14 3TJ, United Kingdom",SO14 3TJ,,,68310,active,2014-08-28,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SO14,Companies House API,
BRAMBLES ESTATE AGENTS LIMITED,04570089,"BRAMBLES ESTATE AGENTS LIMITED, Trusolv Ltd, Grove House Meridians Cross Ocean Village, Southampton, Hampshire, SO14 3TJ, United Kingdom",SO14 3TJ,,,68310,liquidation,2002-10-23,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SO14,Companies House API,
BELGARUM ESTATE AGENTS LIMITED,05166018,"Staple Chambers, Staple Gardens, Winchester, SO23 8RS, England",SO23 8RS,,,68310,active,2004-06-29,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SO23,Companies House API,
ASCOT ESTATE AGENTS LIMITED,08626189,"66 Botley Road, Park Gate, Southampton, Hampshire, SO31 1BB",SO31 1BB,,,68310,active,2013-07-26,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SO31,Companies House API,
ADDISON ESTATE AGENTS LIMITED,15825658,"Office 6 Mitchell House Brook Avenue, Warsash, Southampton, SO31 9HP, England",SO31 9HP,,,68310,active,2024-07-08,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SO31,Companies House API,
HAMWIC INDEPENDENT ESTATE AGENTS LTD,09326630,"3 - 4 South Parade Salisbury Road Salisbury Road, Totton, Southampton, SO40 3PY, England",SO40 3PY,,,68310,active,2014-11-25,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SO40,Companies House API,
CASTLE PROPERTIES ESTATE AGENTS LIMITED,06761847,"Fleming Court Leigh Road, Eastleigh, Southampton, Hampshire, SO50 9PD",SO50 9PD,,,68310,active,2008-12-01,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SO50,Companies House API,
FRESHFIELDS ESTATE AGENTS LTD,17024448,"14 Oakmount Road, Chandler's Ford, Eastleigh, SO53 2LH, England",SO53 2LH,,,68310,active,2026-02-10,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SO53,Companies House API,
BOURNES ESTATE AGENTS LIMITED,06001715,"6 Templeton House, Shepherds Spring Lane, Andover, Hampshire, SP10 1QW, United Kingdom",SP10 1QW,,,68310,active,2006-11-17,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SP10,Companies House API,
ASHWELLS ESTATE AGENTS LIMITED,07121138,"14 London Street, Andover, SP10 2PA, England",SP10 2PA,,,68310,active,2010-01-09,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SP10,Companies House API,
BOATWRIGHTS ESTATE AGENTS LTD,09514957,"Boatwrights High Street, Tisbury, Salisbury, Wiltshire, SP3 6LD, England",SP3 6LD,,,68310,active,2015-03-27,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SP3,Companies House API,
ADRIAN DOWDING ESTATE AGENTS LIMITED,10774726,"8-10 Bridge Street, Fordingbridge, Hampshire, SP6 1AH, United Kingdom",SP6 1AH,,,68310,active,2017-05-17,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SP6,Companies House API,
CHAFFERS ESTATE AGENTS LIMITED,06662783,"1 The Centre, High Street, Gillingham, Dorset, SP8 4AB",SP8 4AB,,,68310,active,2008-08-04,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SP8,Companies House API,
HAMBLEDON ESTATE AGENTS (WINCANTON) LTD,06511745,"32 The Square, Gillingham, Dorset, SP8 4AR",SP8 4AR,,,68310,active,2008-02-21,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SP8,Companies House API,
HEGARTYS ESTATE AGENTS LTD,08158134,"2 Lighthouse View, Spectrum Business Park, Seaham, SR7 7TT, England",SR7 7TT,,,68310,active,2012-07-26,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SR7,Companies House API,
HARDY-KING ESTATE AGENTS LIMITED,09268336,"1 Royal Terrace, Southend-On-Sea, SS1 1EA, England",SS1 1EA,,,68310,active,2014-10-17,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SS1,Companies House API,
BEAR ESTATE AGENTS LTD,09145708,"204 Woodgrange Drive, Southend-On-Sea, Essex, SS1 2SJ, England",SS1 2SJ,,,68310,active,2014-07-24,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SS1,Companies House API,
GOLDINGS ESTATE AGENTS (THORPE BAY) LTD,12115494,"137 The Broadway, Southend-On-Sea, SS1 3EX, England",SS1 3EX,,,68310,active,2019-07-22,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SS1,Companies House API,
CASTLE ESTATE AGENTS (ESSEX) LIMITED,08724806,"C/O Mcl Accountants, 29-31 Shoebury Road, Southend-On-Sea, SS1 3RP, England",SS1 3RP,,,68310,active,2013-10-09,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SS1,Companies House API,
DANIEL BREWER ESTATE AGENTS LIMITED,09089166,"Construction House, Runwell Road, Wickford, Essex, SS11 7HQ",SS11 7HQ,,,68310,active,2014-06-17,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SS11,Companies House API,
BLUEPRINT ESTATE AGENTS LUTON LIMITED,11571780,"Office 1 , Riverside Court, Lower Southend Road, Wickford, SS11 8AW, England",SS11 8AW,,,68310,active,2018-09-17,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SS11,Companies House API,
GRANT ALLEN ESTATE AGENTS LIMITED,04410502,"2 Lords Court, Cricketers Way Basildon, Essex, SS13 1SS",SS13 1SS,,,68310,active,2002-04-05,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SS13,Companies House API,
HOME ESTATE AGENTS OF LEIGH LIMITED,07806341,"10 Towerfield Road, Shoeburyness, Southend-On-Sea, SS3 9QE, England",SS3 9QE,,,68310,active,2011-10-12,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SS3,Companies House API,
HORIZON ESTATE AGENTS LIMITED,05275358,"Millhouse, 32-38 East Street, Rochford, Essex, SS4 1DB",SS4 1DB,,,68310,active,2004-11-02,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SS4,Companies House API,
FREE ESTATE AGENTS LIMITED,15588821,"28 Waarden Road, Canvey Island, SS8 9AB, England",SS8 9AB,,,68310,dissolved,2024-03-23,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SS8,Companies House API,
HENDRICKS ESTATE AGENTS LTD,16498518,"203 City Appartments London Road, Leigh-On-Sea, SS9 2AD, England",SS9 2AD,,,68310,active,2025-06-05,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SS9,Companies House API,
DAVID MARTIN ESTATE AGENTS LTD,11887713,"Sutherland House, 1759 London Road, Leigh-On-Sea, Essex, SS9 2RZ, England",SS9 2RZ,,,68310,active,2019-03-18,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SS9,Companies House API,
ASHLEIGH STONE ESTATE AGENTS LIMITED,09017848,"Turnpike House, 1208 - 1210 London Road, Leigh-On-Sea, Essex, SS9 2UA, England",SS9 2UA,,,68310,active,2014-04-29,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SS9,Companies House API,
