company_name,company_number,registered_office_address,postcode,phone,website,sic_codes,company_status,date_of_creation,director_names,director_roles,officer_count,crm_detected,crm_confidence,crm_evidence,blast_segment,wisecall_tier,corporate_group,corporate_group_name,area,source,notes
COAST AND COUNTRY ESTATE AGENTS LTD,11971337,,NR11 8LH,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,NR11,Companies House API,
COLIN BIBRA ESTATE AGENTS LTD,07335563,,W13 9SJ,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,West Ealing,Companies House API,
COOKE & CO ESTATE AGENTS LIMITED,06396738,,NE26 3QR,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,NE26,Companies House API,
COOPER & CUTT ESTATE AGENTS LTD,11834836,,WF1 2FX,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,WF1,Companies House API,
CORAL JAMES ESTATE AGENTS LIMITED,10908432,,NG33 5SJ,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,NG33,Companies House API,
COULTONS ESTATE AGENTS LIMITED,10120571,,E4 7BE,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Chingford,Companies House API,
KAVANAGHS (RESIDENTIAL AND COMMERCIAL AGENTS) LIMITED,05316910,,NW1 2PL,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Camden/Regent's Park,Companies House API,
HOMES & LAND RESIDENTIAL ESTATE AGENTS LTD,11193966,,NR1 1BY,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,NR1,Companies House API,
BROWNS SALES AND LETTINGS LTD,13729338,,WD24 5FR,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,WD24,Companies House API,
PIN RESIDENTIAL ESTATE AGENTS LIMITED,14219109,,NP20 4PB,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,NP20,Companies House API,
ROBINSON RESIDENTIAL ESTATE AGENTS LIMITED,07318494,,SW14 8LS,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Richmond,Companies House API,
LIV LONDON PROPERTY AGENTS LIMITED,09525398,,W1W 5PF,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,W1W,Companies House API,
SILK LONDON PROPERTY AGENTS LTD,12790548,,WC2H 9JQ,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,WC2H,Companies House API,
DFINE GLOBAL SERVICES LTD,14942970,,W8 4SG,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Kensington,Companies House API,
KUDOS RESIDENTIAL CONSULTANTS LONDON LTD,13664711,,NW2 2HY,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Cricklewood,Companies House API,
LONDON HOMES RESIDENTIAL LTD,10136661,,W13 9RT,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,West Ealing,Companies House API,
LONDON ESTATE AGENCY LTD,16402916,,WC2H 9JQ,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,WC2H,Companies House API,
THE LONDON PROPERTY ESTATE AGENCY LTD,09413464,,SW15 1AZ,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Putney,Companies House API,
RUBICON LONDON ESTATE AGENCY MANAGEMENT LIMITED,07240796,,EN2 6EY,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,EN2,Companies House API,
AA ESTATE AGENCY LIMITED,10957487,,NW10 1SU,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Willesden,Companies House API,
ANILO PROPERTIES ESTATE AGENCY & INVESTMENTS LTD,17165212,,EC3R 8EE,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,EC3R,Companies House API,
A.P. ESTATE AGENCY LTD,SC510549,,EH49 7DF,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,EH49,Companies House API,
ASA ESTATE AGENCY LTD,10850072,,WD6 5FD,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,WD6,Companies House API,
BARNEY ESTATE AGENCY LTD,13746645,,SW18 1TS,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Wandsworth,Companies House API,
COAST TO COAST PROPERTY SALES & ESTATE AGENCY LTD,SC488949,,EH7 9HR,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,EH7,Companies House API,
COBBLES ESTATE AGENCY LIMITED,16399444,,NN6 9AP,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,NN6,Companies House API,
COOPER BEARD ESTATE AGENCY (RUSHDEN) LIMITED,04144174,,NN4 5DW,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,NN4,Companies House API,
DIAMOND ESTATE AGENCY LIMITED,04155732,,NW10 2JY,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Willesden,Companies House API,
88 ESTATE AGENCY LIMITED,08754018,,WD6 4RT,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,WD6,Companies House API,
EMPIRES ESTATE AGENCY LIMITED,09743119,,SE5 0NS,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Camberwell,Companies House API,
ESTATE AGENCY LTD,12508623,,NW3 5EG,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Hampstead,Companies House API,
ESTATE AGENCY 4 YOU LTD,14841974,,WS1 4LA,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,WS1,Companies House API,
ESTATE AGENCY SERVICES LTD,10208601,,E16 4HB,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Royal Docks,Companies House API,
FRANK ESTATE AGENCY LIMITED,12528129,,NR33 0LB,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,NR33,Companies House API,
LONDON HOME SURVEYORS LTD,16030167,,W1W 5PF,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,W1W,Companies House API,
LONDON PRESTIGE SURVEYORS LTD,14783257,,NW11 0JP,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Golders Green,Companies House API,
CENTRAL SURVEYORS (LONDON) LTD,13949263,,E12 6SL,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Manor Park,Companies House API,
